Date,Close
8/28/2017,9.65
8/29/2017,9.65
8/30/2017,9.62
8/31/2017,9.64
9/1/2017,9.62
9/5/2017,9.68
9/6/2017,9.67
9/7/2017,9.72
9/8/2017,9.73
9/11/2017,9.67
9/12/2017,9.65
9/13/2017,9.62
9/14/2017,9.63
9/15/2017,9.64
9/18/2017,9.62
9/19/2017,9.63
9/20/2017,9.59
9/21/2017,9.6
9/22/2017,9.61
9/25/2017,9.61
9/26/2017,9.58
9/27/2017,9.54
9/28/2017,9.56
9/29/2017,9.56
10/2/2017,9.53
10/3/2017,9.53
10/4/2017,9.55
10/5/2017,9.52
10/6/2017,9.52
10/9/2017,9.54
10/10/2017,9.56
10/11/2017,9.57
10/12/2017,9.57
10/13/2017,9.59
10/16/2017,9.58
10/17/2017,9.58
10/18/2017,9.56
10/19/2017,9.58
10/20/2017,9.52
10/23/2017,9.53
10/24/2017,9.5
10/25/2017,9.51
10/26/2017,9.47
10/27/2017,9.47
10/30/2017,9.52
10/31/2017,9.51
11/1/2017,9.5
11/2/2017,9.52
11/3/2017,9.5
11/6/2017,9.52
11/7/2017,9.52
11/8/2017,9.52
11/9/2017,9.52
11/10/2017,9.5
11/13/2017,9.5
11/14/2017,9.53
11/15/2017,9.54
11/16/2017,9.54
11/17/2017,9.56
11/20/2017,9.54
11/21/2017,9.56
11/22/2017,9.61
11/24/2017,9.63
11/27/2017,9.63
11/28/2017,9.61
11/29/2017,9.59
11/30/2017,9.59
12/1/2017,9.61
12/4/2017,9.59
12/5/2017,9.59
12/6/2017,9.59
12/7/2017,9.56
12/8/2017,9.55
12/11/2017,9.55
12/12/2017,9.54
12/13/2017,9.58
12/14/2017,9.58
12/15/2017,9.55
12/18/2017,9.56
12/19/2017,9.54
12/20/2017,9.53
12/21/2017,9.54
12/22/2017,9.53
12/26/2017,9.54
12/27/2017,9.56
12/28/2017,9.57
12/29/2017,9.6
1/2/2018,9.61
1/3/2018,9.61
1/4/2018,9.62
1/5/2018,9.61
1/8/2018,9.6
1/9/2018,9.58
1/10/2018,9.59
1/11/2018,9.61
1/12/2018,9.66
1/16/2018,9.7
1/17/2018,9.67
1/18/2018,9.68
1/19/2018,9.68
1/22/2018,9.69
1/23/2018,9.71
1/24/2018,9.78
1/25/2018,9.78
1/26/2018,9.79
1/29/2018,9.76
1/30/2018,9.75
1/31/2018,9.77
2/1/2018,9.8
2/2/2018,9.71
2/5/2018,9.69
2/6/2018,9.69
2/7/2018,9.64
2/8/2018,9.61
2/9/2018,9.59
2/12/2018,9.61
2/13/2018,9.63
2/14/2018,9.67
2/15/2018,9.71
2/16/2018,9.7
2/20/2018,9.66
2/21/2018,9.63
2/22/2018,9.65
2/23/2018,9.65
2/26/2018,9.67
2/27/2018,9.62
2/28/2018,9.61
3/1/2018,9.62
3/2/2018,9.63
3/5/2018,9.62
3/6/2018,9.65
3/7/2018,9.65
3/8/2018,9.62
3/9/2018,9.64
3/12/2018,9.66
3/13/2018,9.67
3/14/2018,9.67
3/15/2018,9.64
3/16/2018,9.63
3/19/2018,9.64
3/20/2018,9.61
3/21/2018,9.68
3/22/2018,9.65
3/23/2018,9.67
3/26/2018,9.7
3/27/2018,9.68
3/28/2018,9.63
3/29/2018,9.65
4/2/2018,9.64
4/3/2018,9.64
4/4/2018,9.66
4/5/2018,9.63
4/6/2018,9.65
4/9/2018,9.65
4/10/2018,9.65
4/11/2018,9.66
4/12/2018,9.66
4/13/2018,9.66
4/16/2018,9.68
4/17/2018,9.68
4/18/2018,9.66
4/19/2018,9.63
4/20/2018,9.59
4/23/2018,9.53
4/24/2018,9.54
4/25/2018,9.5
4/26/2018,9.49
4/27/2018,9.5
4/30/2018,9.48
5/1/2018,9.42
5/2/2018,9.39
5/3/2018,9.42
5/4/2018,9.41
5/7/2018,9.4
5/8/2018,9.37
5/9/2018,9.38
5/10/2018,9.43
5/11/2018,9.43
5/14/2018,9.41
5/15/2018,9.36
5/16/2018,9.38
5/17/2018,9.36
5/18/2018,9.34
5/21/2018,9.37
5/22/2018,9.38
5/23/2018,9.38
5/24/2018,9.38
5/25/2018,9.36
5/29/2018,9.32
5/30/2018,9.35
5/31/2018,9.34
6/1/2018,9.34
6/4/2018,9.35
6/5/2018,9.35
6/6/2018,9.36
6/7/2018,9.35
6/8/2018,9.35
6/11/2018,9.34
6/12/2018,9.32
6/13/2018,9.32
6/14/2018,9.27
6/15/2018,9.27
6/18/2018,9.27
6/19/2018,9.25
6/20/2018,9.26
6/21/2018,9.28
6/22/2018,9.3
6/25/2018,9.31
6/26/2018,9.29
6/27/2018,9.25
6/28/2018,9.26
6/29/2018,9.28
7/2/2018,9.26
7/3/2018,9.29
7/5/2018,9.31
7/6/2018,9.34
7/9/2018,9.34
7/10/2018,9.35
7/11/2018,9.3
7/12/2018,9.3
7/13/2018,9.31
7/16/2018,9.32
7/17/2018,9.29
7/18/2018,9.29
7/19/2018,9.26
7/20/2018,9.3
7/23/2018,9.3
7/24/2018,9.31
7/25/2018,9.34
7/26/2018,9.32
7/27/2018,9.33
7/30/2018,9.35
7/31/2018,9.33
8/1/2018,9.34
8/2/2018,9.32
8/3/2018,9.33
8/6/2018,9.32
8/7/2018,9.32
8/8/2018,9.32
8/9/2018,9.29
8/10/2018,9.25
8/13/2018,9.22
8/14/2018,9.22
8/15/2018,9.21
8/16/2018,9.21
8/17/2018,9.23
8/20/2018,9.24
8/21/2018,9.26
8/22/2018,9.28
8/23/2018,9.24
8/24/2018,9.26
8/27/2018,9.28
8/28/2018,9.26
8/29/2018,9.27
8/30/2018,9.25
8/31/2018,9.23
9/4/2018,9.18
9/5/2018,9.19
9/6/2018,9.19
9/7/2018,9.17
9/10/2018,9.17
9/11/2018,9.17
9/12/2018,9.21
